"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 00:48:16 GMT 2024","Fri Jan 19 00:48:17 GMT 2024","1298","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Fri Jan 19 00:49:14 GMT 2024","Fri Jan 19 00:49:16 GMT 2024","1622","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Fri Jan 19 00:48:32 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","3","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:58 GMT 2024","Fri Jan 19 00:49:03 GMT 2024","5387","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"passed","Fri Jan 19 00:48:41 GMT 2024","Fri Jan 19 00:48:44 GMT 2024","2673","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:44 GMT 2024","Fri Jan 19 00:48:45 GMT 2024","855","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:34 GMT 2024","Fri Jan 19 00:48:35 GMT 2024","1154","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"failed","Fri Jan 19 00:49:11 GMT 2024","Fri Jan 19 00:49:11 GMT 2024","161","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"passed","Fri Jan 19 00:48:28 GMT 2024","Fri Jan 19 00:48:29 GMT 2024","923","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"failed","Fri Jan 19 00:48:22 GMT 2024","Fri Jan 19 00:48:22 GMT 2024","3","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:15 GMT 2024","Fri Jan 19 00:48:17 GMT 2024","1744","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Fri Jan 19 00:48:53 GMT 2024","Fri Jan 19 00:48:57 GMT 2024","4111","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:23 GMT 2024","Fri Jan 19 00:48:24 GMT 2024","1174","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:50 GMT 2024","Fri Jan 19 00:48:50 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
